Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
32	23	11	0.0182	0.01934	2.118e+02	2.913	GO:0034446
33	28	13	0.01455	0.01343	3.175e+02	3.022	GO:0007566
34	29	14	0.01421	0.02431	3.315e+02	1.984	GO:0007077
35	24	11	0.01318	0.01907	2.367e+02	2.472	GO:0046456
36	60	25	0.01201	0.01041	1.531e+03	2.952	GO:0001936
37	72	34	0.01098	0.01209	2.033e+03	2.057	GO:0072599
38	24	10	0.00771	0.00945	2.517e+02	2.828	GO:0021954
39	21	11	0.00644	0.00904	1.658e+02	1.969	GO:0006270
40	49	20	0.00598	0.00971	1.038e+03	2.779	GO:0007569
41	35	15	0.00562	0.00778	5.190e+02	2.606	GO:0007044
42	29	13	0.00502	0.0091	3.485e+02	3.282	GO:0030837
43	25	11	0.00458	0.00915	2.636e+02	3.111	GO:0001569
44	20	8	0.00443	0.00632	1.808e+02	3.279	GO:0050926
45	69	33	0.00414	0.00528	1.853e+03	1.996	GO:0006614
46	36	15	0.0037	0.00631	5.579e+02	2.923	GO:0032272
47	35	15	0.00369	0.00691	5.190e+02	2.288	GO:0010717
48	23	9	0.00342	0.00544	2.407e+02	3.142	GO:0035162
49	29	12	0.00318	0.00369	3.664e+02	1.99	GO:0010770
50	21	9	0.00276	0.00552	1.908e+02	2.427	GO:0010862
51	75	27	0.00222	0.00445	2.583e+03	2.689	GO:0030097
52	28	13	0.00217	0.00434	3.175e+02	2.427	GO:0042451
53	54	21	0.00198	0.00251	1.293e+03	2.571	GO:0048514
54	55	26	0.00195	0.0027	1.191e+03	1.993	GO:0006415
55	26	10	0.00193	0.00386	3.085e+02	3.205	GO:0051893
56	20	8	0.00185	0.0037	1.808e+02	1.845	GO:0060314
57	56	23	0.00175	0.00321	1.347e+03	2.706	GO:0001952
58	102	39	0.00168	0.00251	4.603e+03	2.695	GO:0030336
59	44	18	0.00158	0.00315	8.380e+02	2.681	GO:0014068
60	25	10	0.0015	0.0019	2.796e+02	2.863	GO:0060761
61	42	18	0.00146	0.00293	7.433e+02	2.573	GO:0043542
62	63	28	0.00136	0.00272	1.622e+03	1.866	GO:0051437
63	25	9	0.00119	0.00238	2.965e+02	2.144	GO:0010543
64	21	8	0.00118	0.00237	2.047e+02	2.463	GO:0060343
65	60	27	0.00107	0.00172	1.461e+03	1.829	GO:0051436
66	37	14	0.00106	0.00151	6.226e+02	2.205	GO:0002244
67	24	10	0.00106	0.00211	2.517e+02	3.114	GO:0034333
68	38	16	0.00086	0.00173	6.167e+02	2.276	GO:0033143
69	22	8	0.00085	0.00111	2.297e+02	2.341	GO:0032873
70	63	30	0.00085	0.0017	1.551e+03	1.953	GO:0006414
71	28	12	0.00085	0.0017	3.345e+02	2.203	GO:2000107
72	62	29	0.00079	0.00158	1.520e+03	1.922	GO:0019058
73	25	10	0.00076	0.00152	2.796e+02	1.63	GO:0090199
74	23	10	0.00074	0.00107	2.257e+02	2.306	GO:0070670
75	24	10	0.00069	0.00138	2.517e+02	1.811	GO:0006890
76	40	17	0.00068	0.00136	6.785e+02	2.601	GO:0048661
77	36	14	0.00058	0.00117	5.808e+02	1.734	GO:0051297
78	51	22	0.00055	0.0011	1.087e+03	2.204	GO:0032069
79	26	8	0.00054	0.00109	3.454e+02	2.102	GO:0006833
80	64	28	0.00054	0.00109	1.689e+03	1.849	GO:0051352
81	25	9	0.00051	0.00102	2.965e+02	2.233	GO:0051225
82	95	38	0.0005	0.00101	3.900e+03	2.746	GO:0031589
83	31	12	0.00049	0.00098	4.342e+02	2.401	GO:0031214
84	43	14	0.00048	0.00096	9.035e+02	2.449	GO:0072163
85	20	8	0.00042	0.00085	1.808e+02	2.135	GO:0000083
86	75	29	0.0004	0.0008	2.486e+03	2.351	GO:0042542
87	32	14	0.00038	0.00075	4.293e+02	2.95	GO:1901880
88	25	11	0.00035	0.0007	2.636e+02	1.719	GO:0007094
89	64	26	0.00035	0.00065	1.766e+03	2.52	GO:0018108
90	42	14	0.00035	0.0007	8.527e+02	2.504	GO:0072164
91	36	15	0.00032	0.00064	5.579e+02	2.723	GO:0048844
92	22	9	0.00031	0.00062	2.147e+02	2.618	GO:0043534
93	55	22	0.00031	0.00062	1.320e+03	2.825	GO:0051494
94	27	12	0.0003	0.00061	3.046e+02	1.791	GO:0006271
95	25	9	0.0003	0.00061	2.965e+02	2.003	GO:0010743
96	50	18	0.0003	0.00061	1.158e+03	2.221	GO:0046651
97	26	10	0.00018	0.00037	3.085e+02	2.472	GO:0045599
98	30	12	0.00018	0.00035	3.993e+02	1.717	GO:1901607
99	38	16	0.00017	0.00034	6.167e+02	2.253	GO:0009163
100	28	11	0.00016	0.00032	3.524e+02	2.142	GO:2000379
101	27	12	5e-05	0.0001	3.046e+02	2.087	GO:0035637
102	20	9	4e-05	8e-05	1.678e+02	1.83	GO:0000722
103	27	12	2e-05	5e-05	3.046e+02	1.96	GO:0006284
104	57	23	2e-05	3e-05	1.410e+03	1.867	GO:0006977
105	20	6	1e-05	2e-05	2.097e+02	1.498	GO:0010880
