# Original number of entities in query: 11095,,,,,,,
# Number of entities in query: 11094,,,,,,,
# Total number of entities: 11094,,,,,,,
# Total number of attributes: 2073,,,,,,,
# Translation required: no,,,,,,,
# Mode: ordered,,,,,,,
# Number of simulations: 1000,,,,,,,
# Adjusted P-value cutoff: 0.05,,,,,,,
# Over/under: over,,,,,,,
OVERREPRESENTED ATTRIBUTES,,,,,,,
N,M,X,LOD,P,P_adj,attrib ID,attrib name
81,6030,91,0.819166042,8.79E-13,0,MaxNala1958,cotranslational protein targeting to membrane
62,5897,70,0.815508535,2.19E-10,0,MaxNala978,viral transcription & viral genome expression
80,6030,90,0.813731323,1.45E-12,0,MaxNala471,protein targeting to ER
15,938,41,0.807279805,5.61E-07,0.027,MaxNala1149,artery morphogenesis
17,597,67,0.794956826,5.75E-08,0.006,MaxNala20,regulation of leukocyte migration
23,454,117,0.783763611,2.73E-10,0,MaxNala1432,negative regulation of locomotion
15,349,97,0.777381401,3.22E-07,0.021,MaxNala1098,positive regulation of cell adhesion
21,662,80,0.766650145,5.13E-09,0.001,MaxNala791,regulation of cell-substrate adhesion
19,1113,49,0.764407553,9.15E-08,0.006,MaxNala1709,regulation of BMP signaling pathway
29,606,122,0.754303799,9.95E-12,0,MaxNala641,positive regulation of response to external stimulus
23,586,101,0.743609413,1.82E-09,0.001,MaxNala70,negative regulation of cell migration
27,675,107,0.736126371,1.37E-10,0,MaxNala306,regulation of behavior
31,1374,73,0.727492007,1.14E-10,0,MaxNala1937,aminoglycan biosynthetic process & glycosaminoglycan biosynthetic process
23,586,104,0.727196532,3.35E-09,0.001,MaxNala707,negative regulation of cell motility
25,924,79,0.721172796,2.39E-09,0.001,MaxNala761,positive regulation of angiogenesis
87,6030,101,0.709932159,8.21E-12,0,MaxNala1747,protein localization to endoplasmic reticulum
23,586,108,0.706221398,7.26E-09,0.001,MaxNala1086,negative regulation of cellular component movement
23,1030,70,0.691888549,3.60E-08,0.006,MaxNala1205,positive regulation of ERK1 and ERK2 cascade
50,807,189,0.685736389,3.08E-16,0,MaxNala1433,positive regulation of locomotion
62,5708,74,0.677528739,5.40E-09,0.001,MaxNala223,translational termination
22,1043,68,0.675729991,1.22E-07,0.007,MaxNala1197,negative regulation of cellular response to growth factor stimulus
49,807,189,0.67333235,1.48E-15,0,MaxNala1087,positive regulation of cellular component movement
52,938,179,0.668249661,5.75E-16,0,MaxNala1531,positive regulation of cell migration
41,1396,104,0.667049105,3.71E-12,0,MaxNala1471,glycosaminoglycan metabolic process
24,1756,52,0.664620986,2.43E-07,0.016,MaxNala59,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
53,938,184,0.663345505,4.48E-16,0,MaxNala708,positive regulation of cell motility
27,713,117,0.658522251,3.93E-09,0.001,MaxNala1193,regulation of cellular response to growth factor stimulus
42,1396,109,0.651000077,4.96E-12,0,MaxNala1936,aminoglycan metabolic process
21,913,75,0.650935985,3.83E-07,0.022,MaxNala58,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
30,2012,61,0.645496645,3.08E-08,0.006,MaxNala509,regulation of endothelial cell migration
32,1129,98,0.644270447,9.84E-10,0.001,MaxNala38,positive regulation of epithelial cell proliferation
26,767,109,0.64193901,1.65E-08,0.003,MaxNala634,mesenchyme development
23,1592,55,0.63979609,6.28E-07,0.03,MaxNala1244,regulation of biomineral tissue development
21,526,123,0.637794912,2.82E-07,0.018,MaxNala108,inner ear development
80,6513,93,0.626788436,9.39E-09,0.002,MaxNala981,carbohydrate biosynthetic process
26,1229,77,0.62286073,9.47E-08,0.006,MaxNala1611,bone development
36,1770,83,0.613855914,2.58E-09,0.001,MaxNala1682,cell chemotaxis
32,646,165,0.611370491,1.27E-09,0.001,MaxNala39,regulation of epithelial cell proliferation
35,785,153,0.609397415,3.54E-10,0,MaxNala1614,ossification
23,1098,76,0.608642944,6.27E-07,0.03,MaxNala1467,ureteric bud development
28,1400,77,0.607052053,8.19E-08,0.006,MaxNala145,cardiocyte differentiation
36,1623,90,0.599118257,3.30E-09,0.001,MaxNala1952,sulfur compound biosynthetic process
32,1466,87,0.591960567,2.20E-08,0.004,MaxNala1236,regulation of striated muscle tissue development & regulation of muscle tissue development
32,1466,88,0.584159736,3.02E-08,0.006,MaxNala390,regulation of muscle organ development
93,6818,108,0.582317828,1.36E-08,0.002,MaxNala226,translational initiation
26,1591,68,0.576163866,9.45E-07,0.045,MaxNala1518,humoral immune response
33,924,133,0.575808432,7.53E-09,0.001,MaxNala213,regulation of angiogenesis
30,1218,97,0.571643752,7.74E-08,0.006,MaxNala1660,cell-substrate adhesion
27,1770,66,0.569118941,1.03E-06,0.049,MaxNala1400,leukocyte chemotaxis
30,913,126,0.557263406,7.52E-08,0.006,MaxNala1828,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
29,1400,86,0.55692275,3.16E-07,0.021,MaxNala270,gland morphogenesis
102,6035,126,0.550289435,3.12E-10,0,MaxNala1959,protein targeting to membrane
33,633,197,0.543097694,1.97E-08,0.003,MaxNala1018,response to alcohol
67,5708,85,0.540590409,1.56E-07,0.011,MaxNala1890,cellular protein complex disassembly
79,5897,99,0.537922337,2.81E-08,0.006,MaxNala415,viral infectious cycle
36,1161,128,0.537866929,1.80E-08,0.003,MaxNala215,skeletal system morphogenesis
68,5708,87,0.52411041,2.29E-07,0.014,MaxNala1534,protein complex disassembly
52,1666,143,0.520930775,2.05E-10,0,MaxNala1282,regulation of vasculature development
44,1410,138,0.519159816,2.77E-09,0.001,MaxNala1927,morphogenesis of a branching epithelium
30,898,138,0.513926877,4.41E-07,0.024,MaxNala948,respiratory system development
45,1410,144,0.506511383,3.74E-09,0.001,MaxNala67,morphogenesis of a branching structure
38,1468,119,0.498613941,9.37E-08,0.006,MaxNala1903,branching morphogenesis of an epithelial tube
30,653,190,0.496044825,6.44E-07,0.031,MaxNala1153,cellular divalent inorganic cation homeostasis
70,5708,91,0.494197272,4.65E-07,0.024,MaxNala1350,nuclear-transcribed mRNA catabolic process
41,1379,137,0.490054907,3.83E-08,0.006,MaxNala1394,negative regulation of peptidase activity
36,1646,106,0.479276401,6.35E-07,0.031,MaxNala890,cartilage development
44,1646,130,0.477937696,4.17E-08,0.006,MaxNala1845,connective tissue development
39,1379,134,0.47252455,1.86E-07,0.014,MaxNala502,negative regulation of endopeptidase activity
52,1322,188,0.464971308,2.77E-09,0.001,MaxNala1472,renal system development
47,1806,132,0.46329124,4.57E-08,0.006,MaxNala1528,regulation of ossification
48,1440,163,0.458890163,1.96E-08,0.003,MaxNala1953,leukocyte migration
58,3195,110,0.445144153,1.04E-07,0.007,MaxNala1751,cellular carbohydrate metabolic process
55,1623,176,0.435067017,1.32E-08,0.002,MaxNala7,sulfur compound metabolic process
58,2822,125,0.410340549,2.85E-07,0.018,MaxNala1072,lung development
44,1264,181,0.410000144,6.85E-07,0.033,MaxNala504,activation of immune response
59,2822,128,0.405071875,2.99E-07,0.02,MaxNala1070,respiratory tube development
