Creation Time:	2022-12-30 15:47:31

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/crfe_v018_real.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/adeno_symbol.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	1533
threshold:	2
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	5
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.35503125403484775
Maximal possible value for alpha and beta:	0.35503125403484775
Probability parameter change:	0.2
seed for RNG:	1062947925

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1821
Total number of genes:	6482
Number of perturbed genes:	1540
Proportion perturbed genes:	0.23758099352051837

OUTPUT:
Learnt parameters:
alpha (FPR):	0.21301875242090867
beta (FNR):	0.35503125403484775
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-3742.342917998074 +- 2.317590839293883

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
42	22	8	0.03582	0.05077	2.297e+02	2.879	GO:0042743
43	21	7	0.03374	0.06195	2.197e+02	2.386	GO:0051145
44	23	11	0.03305	0.0661	2.118e+02	2.913	GO:0034446
45	64	26	0.03267	0.06534	1.766e+03	2.52	GO:0018108
46	67	23	0.02857	0.03914	2.115e+03	2.277	GO:0032387
47	36	15	0.02548	0.0492	5.579e+02	2.723	GO:0048844
48	20	8	0.02369	0.04077	1.808e+02	3.279	GO:0050926
49	21	11	0.02268	0.04062	1.658e+02	2.784	GO:0030511
50	53	19	0.02231	0.04462	1.302e+03	2.326	GO:0090317
51	52	18	0.01834	0.03615	1.276e+03	2.315	GO:0072593
52	23	9	0.01774	0.02358	2.407e+02	3.142	GO:0035162
53	42	18	0.01582	0.01197	7.433e+02	2.573	GO:0043542
54	57	20	0.01447	0.02289	1.520e+03	2.183	GO:0070661
55	38	16	0.0144	0.0288	6.167e+02	2.253	GO:0009163
56	37	18	0.01382	0.02763	5.330e+02	2.153	GO:0006998
57	35	15	0.0123	0.02461	5.190e+02	2.606	GO:0007044
58	60	25	0.01158	0.02317	1.531e+03	2.952	GO:0001936
59	56	23	0.01138	0.01437	1.347e+03	2.706	GO:0001952
60	22	8	0.01128	0.02256	2.297e+02	2.341	GO:0032873
61	64	26	0.01054	0.01325	1.766e+03	2.214	GO:0007229
62	20	11	0.0091	0.01819	1.449e+02	2.213	GO:0043666
63	41	15	0.0089	0.01781	7.761e+02	2.519	GO:1901879
64	47	16	0.00798	0.01597	1.054e+03	2.13	GO:0045598
65	50	18	0.00674	0.01347	1.158e+03	2.221	GO:0046651
66	63	24	0.00664	0.01328	1.775e+03	2.293	GO:0034614
67	26	10	0.00647	0.01294	3.085e+02	3.205	GO:0051893
68	50	23	0.0057	0.01036	1.003e+03	2.769	GO:0010811
69	29	12	0.00567	0.01134	3.664e+02	2.373	GO:0045931
70	33	10	0.00463	0.00926	5.548e+02	1.715	GO:2001239
71	37	14	0.00441	0.00577	6.226e+02	2.42	GO:0030218
72	21	12	0.00424	0.00848	1.539e+02	3.012	GO:0007052
73	43	17	0.00405	0.0081	8.170e+02	2.03	GO:0022403
74	22	8	0.00373	0.00746	2.297e+02	2.829	GO:0001960
75	37	14	0.00365	0.0073	6.226e+02	2.205	GO:0002244
76	35	14	0.00301	0.00602	5.409e+02	2.716	GO:0043242
77	55	26	0.00261	0.00522	1.191e+03	1.993	GO:0006415
78	33	14	0.00226	0.00453	4.652e+02	2.259	GO:0042455
79	24	12	0.00186	0.00247	2.227e+02	2.65	GO:0014910
80	32	14	0.0016	0.0032	4.293e+02	2.95	GO:1901880
81	67	25	0.00089	0.00178	2.027e+03	2.644	GO:0007160
82	25	7	0.00086	0.00171	3.334e+02	1.875	GO:0022408
83	33	12	0.00079	0.00158	5.080e+02	2.097	GO:0051289
84	25	10	0.00075	0.0015	2.796e+02	2.863	GO:0060761
85	29	14	0.00072	0.00144	3.315e+02	2.763	GO:0006094
86	33	10	0.00062	0.00125	5.548e+02	2.193	GO:0032091
87	24	12	0.00052	0.00104	2.227e+02	2.713	GO:0022409
88	25	11	0.00051	0.00102	2.636e+02	3.111	GO:0001569
89	21	11	0.0004	0.0008	1.658e+02	1.969	GO:0006270
90	45	17	0.00034	0.00067	9.166e+02	2.393	GO:0009152
91	24	7	0.00016	0.00032	3.025e+02	1.246	GO:0045058
92	52	19	0.00011	0.00022	1.241e+03	2.266	GO:0072522
93	23	8	0.0001	0.00021	2.566e+02	2.196	GO:0050766
